"id","nome","codigo"
1,"Oficial General da Aeronautica","010105"
2,"Oficial General do Exercito","010110"
3,"Oficial General da Marinha","010115"
4,"Oficial da Aeronautica","010205"
5,"Oficial do Exercito","010210"
6,"Oficial da Marinha","010215"
7,"Praca da Aeronautica","010305"
8,"Praca do Exercito","010310"
9,"Praca da Marinha","010315"
10,"Coronel da Policia Militar","020105"
11,"Tenente-Coronel da Policia Militar","020110"
12,"Major da Policia Militar","020115"
13,"Capitao da Policia Militar","020205"
14,"Primeiro Tenente de Policia Militar","020305"
15,"Segundo Tenente de Policia Militar","020310"
16,"Subtenente da Policia Militar","021105"
17,"Sargento da Policia Militar","021110"
18,"Cabo da Policia Militar","021205"
19,"Soldado da Policia Militar","021210"
20,"Coronel Bombeiro Militar","030105"
21,"Major Bombeiro Militar","030110"
22,"Tenente-Coronel Bombeiro Militar","030115"
23,"Capitao Bombeiro Militar","030205"
24,"Tenente do Corpo de Bombeiros Militar","030305"
25,"Subtenente Bombeiro Militar","031105"
26,"Sargento Bombeiro Militar","031110"
27,"Cabo Bombeiro Militar","031205"
28,"Soldado Bombeiro Militar","031210"
29,"Senador","111105"
30,"Deputado Federal","111110"
31,"Deputado Estadual e distrital","111115"
32,"Vereador","111120"
33,"Presidente da Republica","111205"
34,"Vice-Presidente da Republica","111210"
35,"Ministro de estado","111215"
36,"Secretario executivo","111220"
37,"Membro superior do poder executivo","111225"
38,"Governador de Estado","111230"
39,"Governador do Distrito Federal","111235"
40,"Vice-Governador de Estado","111240"
41,"Vice-Governador do Distrito Federal","111245"
42,"Prefeito","111250"
43,"Vice-Prefeito","111255"
44,"Ministro do Supremo Tribunal Federal","111305"
45,"Ministro do Superior Tribunal de Justica","111310"
46,"Ministro do Superior Tribunal Militar","111315"
47,"Ministro do Superior Tribunal do Trabalho","111320"
48,"Juiz de Direito","111325"
49,"Juiz Federal","111330"
50,"Juiz Auditor Federal - Justica Militar","111335"
51,"Juiz Auditor Estadual - Justica Militar","111340"
52,"Juiz do Trabalho","111345"
53,"Dirigente do servico publico federal","111405"
54,"Dirigente do servico publico estadual e distrital","111410"
55,"Dirigente do servico publico municipal","111415"
56,"Especialista de politicas publicas e gestao governamental �� EPPGG","111505"
57,"Analista de planejamento e orcamento - APO","111510"
58,"Cacique","113005"
59,"Lider de comunidade caicara","113010"
60,"Membro de lideranca quilombola","113015"
61,"Dirigente de partido politico","114105"
62,"Dirigentes de entidades de trabalhadores","114205"
63,"Dirigentes de entidades patronais","114210"
64,"Dirigente e administrador de organizacao religiosa","114305"
65,"Dirigente e administrador de organizacao da sociedade civil sem fins lucrativos","114405"
66,"Diretor de planejamento estrategico","121005"
67,"Diretor geral de empresa e organizacoesexceto de interesse publico)","121010"
68,"Diretor de producao e operacoes em empresa agropecuaria","122105"
69,"Diretor de producao e operacoes em empresa aquicola","122110"
70,"Diretor de producao e operacoes em empresa florestal","122115"
71,"Diretor de producao e operacoes em empresa pesqueira","122120"
72,"Diretor de producao e operacoes da industria de transformacao, extracao mineral e utilidades","122205"
73,"Diretor de operacoes de obras publica e civil","122305"
74,"Diretor de operacoes comerciaiscomercio atacadista e varejista)","122405"
75,"Diretor de producao e operacoes de alimentacao","122505"
76,"Diretor de producao e operacoes de hotel","122510"
77,"Diretor de producao e operacoes de turismo","122515"
78,"Turismologo","122520"
79,"Diretor de operacoes de correios","122605"
80,"Diretor de operacoes de servicos de armazenamento","122610"
81,"Diretor de operacoes de servicos de telecomunicacoes","122615"
82,"Diretor de operacoes de servicos de transporte","122620"
83,"Diretor comercial em operacoes de intermediacao financeira","122705"
84,"Diretor de produtos bancarios","122710"
85,"Diretor de credito rural","122715"
86,"Diretor de cambio e comercio exterior","122720"
87,"Diretor de compliance","122725"
88,"Diretor de creditoexceto credito imobiliario)","122730"
89,"Diretor de credito imobiliario","122735"
90,"Diretor de leasing","122740"
91,"Diretor de mercado de capitais","122745"
92,"Diretor de recuperacao de creditos em operacoes de intermediacao financeira","122750"
93,"Diretor de riscos de mercado","122755"
94,"Diretor administrativo","123105"
95,"Diretor administrativo e financeiro","123110"
96,"Diretor financeiro","123115"
97,"Diretor de recursos humanos","123205"
98,"Diretor de relacoes de trabalho","123210"
99,"Diretor comercial","123305"
100,"Diretor de marketing","123310"
101,"Diretor de suprimentos","123405"
102,"Diretor de suprimentos no servico publico","123410"
103,"Diretor de tecnologia da informacao","123605"
104,"Diretor de Pesquisa e DesenvolvimentoP&D)","123705"
105,"Diretor de manutencao","123805"
106,"Diretor de servicos culturais","131105"
107,"Diretor de servicos sociais","131110"
108,"Gerente de servicos culturais","131115"
109,"Gerente de servicos sociais","131120"
110,"Sanitarista","1312C1"
111,"Diretor de servicos de saude","131205"
112,"Gerente de servicos de saude","131210"
113,"Tecnologo em gestao hospitalar","131215"
114,"Gerontologo","131220"
115,"Sanitarista","131225"
116,"Diretor de instituicao educacional da area privada","131305"
117,"Diretor de instituicao educacional publica","131310"
118,"Gerente de instituicao educacional da area privada","131315"
119,"Gerente de servicos educacionais da area publica","131320"
120,"Gerente de producao e operacoes aquicolas","141105"
121,"Gerente de producao e operacoes florestais","141110"
122,"Gerente de producao e operacoes agropecuarias","141115"
123,"Gerente de producao e operacoes pesqueiras","141120"
124,"Gerente de producao e operacoes","141205"
125,"Gerente de producao e operacoes da construcao civil e obras publicas","141305"
126,"Comerciante atacadista","141405"
127,"Comerciante varejista","141410"
128,"Gerente de loja e supermercado","141415"
129,"Gerente de operacoes de servicos de assistencia tecnica","141420"
