"id","codigo","opc","categoria","sub_categoria","descricao","restrito_sexo","campos_rad","estadio","repete_rad"
1,"A00",,"S","N","A00   Colera","5","000","N","N"
2,"A000",,"N","S","A00.0 Colera dev Vibrio cholerae 01 biot cholerae","5","000","N","N"
3,"A001",,"N","S","A00.1 Colera dev Vibrio cholerae 01 biot El Tor","5","000","N","N"
4,"A009",,"N","S","A00.9 Colera NE","5","000","N","N"
5,"A01",,"S","N","A01   Febres tifoide e paratifoide","5","000","N","N"
6,"A010",,"N","S","A01.0 Febre tifoide","5","000","N","N"
7,"A011",,"N","S","A01.1 Febre paratifoide A","5","000","N","N"
8,"A012",,"N","S","A01.2 Febre paratifoide B","5","000","N","N"
9,"A013",,"N","S","A01.3 Febre paratifoide C","5","000","N","N"
10,"A014",,"N","S","A01.4 Febre paratifoide NE","5","000","N","N"
11,"A02",,"S","N","A02   Outr infecc p/Salmonella","5","000","N","N"
12,"A020",,"N","S","A02.0 Enterite p/salmonela","5","000","N","N"
13,"A021",,"N","S","A02.1 Septicemia p/salmonela","5","000","N","N"
14,"A022","+","N","S","A02.2 Infecc localizadas p/salmonela","5","000","N","N"
15,"A028",,"N","S","A02.8 Outr infecc espec p/salmonela","5","000","N","N"
16,"A029",,"N","S","A02.9 Infecc NE p/salmonela","5","000","N","N"
17,"A03",,"S","N","A03   Shiguelose","5","000","N","N"
18,"A030",,"N","S","A03.0 Shiguelose dev Shigella dysenteriae","5","000","N","N"
19,"A031",,"N","S","A03.1 Shiguelose dev Shigella flexneri","5","000","N","N"
20,"A032",,"N","S","A03.2 Shiguelose dev Shigella boydii","5","000","N","N"
21,"A033",,"N","S","A03.3 Shiguelose dev Shigella sonnei","5","000","N","N"
22,"A038",,"N","S","A03.8 Outr shigueloses","5","000","N","N"
23,"A039",,"N","S","A03.9 Shiguelose NE","5","000","N","N"
24,"A04",,"S","N","A04   Outr infecc intestinais bacter","5","000","N","N"
25,"A040",,"N","S","A04.0 Infecc p/Escherichia coli enteropatogenica","5","000","N","N"
26,"A041",,"N","S","A04.1 Infecc p/Escherichia coli enterotoxigenica","5","000","N","N"
27,"A042",,"N","S","A04.2 Infecc p/Escherichia coli enteroinvasiva","5","000","N","N"
28,"A043",,"N","S","A04.3 Infecc p/Escherichia coli enterohemorragica","5","000","N","N"
29,"A044",,"N","S","A04.4 Outr infecc intestinais p/Escherichia coli","5","000","N","N"
30,"A045",,"N","S","A04.5 Enterite p/Campylobacter","5","000","N","N"
31,"A046",,"N","S","A04.6 Enterite dev Yersinia enterocolitica","5","000","N","N"
32,"A047",,"N","S","A04.7 Enterocolite dev Clostridium difficile","5","000","N","N"
33,"A048",,"N","S","A04.8 Outr infecc bacter intestinais espec","5","000","N","N"
34,"A049",,"N","S","A04.9 Infecc intestinal bacter NE","5","000","N","N"
35,"A05",,"S","N","A05   Outr intox alimentares bacter","5","000","N","N"
36,"A050",,"N","S","A05.0 Intox alimentar estafilococica","5","000","N","N"
37,"A051",,"N","S","A05.1 Botulismo","5","000","N","N"
38,"A052",,"N","S","A05.2 Intox alimentar dev Clostridium perfringens","5","000","N","N"
39,"A053",,"N","S","A05.3 Intox alimentar dev Vibrio parahemolyticus","5","000","N","N"
40,"A054",,"N","S","A05.4 Intox alimentar dev Bacillus cereus","5","000","N","N"
41,"A058",,"N","S","A05.8 Outr intox alimentares bacter espec","5","000","N","N"
42,"A059",,"N","S","A05.9 Intox alimentar bacter NE","5","000","N","N"
43,"A06",,"S","N","A06   Amebiase","5","000","N","N"
44,"A060",,"N","S","A06.0 Disenteria amebiana aguda","5","000","N","N"
45,"A061",,"N","S","A06.1 Amebiase intestinal cronica","5","000","N","N"
46,"A062",,"N","S","A06.2 Colite amebiana nao-disenterica","5","000","N","N"
47,"A063",,"N","S","A06.3 Ameboma intestinal","5","000","N","N"
48,"A064",,"N","S","A06.4 Abscesso amebiano do figado","5","000","N","N"
49,"A065","+","N","S","A06.5 Abscesso amebiano do pulmao","5","000","N","N"
50,"A066","+","N","S","A06.6 Abscesso amebiano do cerebro","5","000","N","N"
51,"A067",,"N","S","A06.7 Amebiase cutanea","5","000","N","N"
52,"A068",,"N","S","A06.8 Infecc amebiana de outr localiz","5","000","N","N"
53,"A069",,"N","S","A06.9 Amebiase NE","5","000","N","N"
54,"A07",,"S","N","A07   Outr doenc intestinais p/protozoarios","5","000","N","N"
55,"A070",,"N","S","A07.0 Balantidiase","5","000","N","N"
56,"A071",,"N","S","A07.1 Giardiase","5","000","N","N"
57,"A072",,"N","S","A07.2 Criptosporidiose","5","000","N","N"
58,"A073",,"N","S","A07.3 Isosporiase","5","000","N","N"
59,"A078",,"N","S","A07.8 Outr doenc intestinais espec p/protozoarios","5","000","N","N"
60,"A079",,"N","S","A07.9 Doenc intestinal NE p/protozoarios","5","000","N","N"
61,"A08",,"S","N","A08   Infecc intestinais virais outr e as NE","5","000","N","N"
62,"A080",,"N","S","A08.0 Enterite p/rotavirus","5","000","N","N"
63,"A081",,"N","S","A08.1 Gastroenteropatia aguda p/agente de Norwalk","5","000","N","N"
64,"A082",,"N","S","A08.2 Enterite p/adenovirus","5","000","N","N"
65,"A083",,"N","S","A08.3 Outr enterites virais","5","000","N","N"
66,"A084",,"N","S","A08.4 Infecc intestinal dev virus NE","5","000","N","N"
67,"A085",,"N","S","A08.5 Outr infecc intestinais espec","5","000","N","N"
68,"A09",,"S","S","A09   Diarreia e gastroenterite orig infecc presum","5","000","N","N"
69,"A15",,"S","N","A15   Tuberc respirat c/conf bacteriol e histolog","5","000","N","N"
70,"A150",,"N","S","A15.0 Tuberc pulm c/conf p/ex micr expec c/s/cult","5","000","N","N"
71,"A151",,"N","S","A15.1 Tuberc pulmonar c/conf somente p/cultura","5","000","N","N"
72,"A152",,"N","S","A15.2 Tuberc pulmonar c/conf histolog","5","000","N","N"
73,"A153",,"N","S","A15.3 Tuberc pulmonar c/conf p/meio NE","5","000","N","N"
74,"A154",,"N","S","A15.4 Tuberc gangl intrator c/conf bacter e histol","5","000","N","N"
75,"A155",,"N","S","A15.5 Tuberc laring traq bronq c/conf bact e hist","5","000","N","N"
76,"A156",,"N","S","A15.6 Pleuris tuberc c/conf bacteriol e histolog","5","000","N","N"
77,"A157",,"N","S","A15.7 Tuberc prim vias respir c/conf bact e histol","5","000","N","N"
78,"A158",,"N","S","A15.8 Outr form tuberc via resp c/conf bact hist","5","000","N","N"
79,"A159",,"N","S","A15.9 Tuberc NE vias respir c/conf bacter histol","5","000","N","N"
80,"A16",,"S","N","A16   Tuberc vias respirat s/conf bacter histol","5","000","N","N"
81,"A160",,"N","S","A16.0 Tuberc pulmonar c/exames bact e hist negat","5","000","N","N"
