"id","nome","codigo"
1,"ACONA (WAKONAS, NACONAS, JAKONA, ACORA­NES)","0001"
2,"AIKANA (AIKANA, MAS SAKA,TUBARAO)","0002"
3,"AJURU","0003"
4,"AKUNSU (AKUNT'SU)","0004"
5,"AMANAYE","0005"
6,"AMONDAWA","0006"
7,"ANAMBE","0007"
8,"APARAI (APALAI)","0008"
9,"APIAKA (APIACA)","0009"
10,"APINAYE (APINAJE/APINAIE/APINAGE)","0010"
11,"APURINA (APORINA, IPURINA, IPURINA, IPURI­NAN)","0011"
12,"ARANA (ARACUAI DO VALE DO JEQUITINHONHA)","0012"
13,"ARAPASO (ARAPACO)","0013"
14,"ARARA DE RONDONIA (KARO, URUCU, URUKU)","0014"
15,"ARARA DO ACRE (SHAWANAUA, AMAWAKA)","0015"
16,"ARARA DO ARIPUANA (ARARA DO BEIRADAO/ARI­PUANA)","0016"
17,"ARARA DO PARA (UKARAGMA, UKARAMMA)","0017"
18,"ARAWETE (ARAUETE)","0018"
19,"ARIKAPU (ARICAPU, ARIKAPO, MASUBI, MAXUBI)","0019"
20,"ARIKEM (ARIQUEN, ARIQUEME, ARIKEME)","0020"
21,"ARIKOSE (ARICOBE)","0021"
22,"ARUA","0022"
23,"ARUAK (ARAWAK)","0023"
24,"ASHANINKA (KAMPA)","0024"
25,"ASURINI DO TOCANTINS (AKUAWA/AKWAWA)","0025"
26,"ASURINI DO XINGU (AWAETE)","0026"
27,"ATIKUM (ATICUM)","0027"
28,"AVA - CANOEIRO","0028"
29,"AWETI (AUETI/AUETO)","0029"
30,"BAKAIRI (KURA, BACAIRI)","0030"
31,"BANAWA YAFI (BANAWA, BANAWA-JAFI)","0031"
32,"BANIWA (BANIUA, BANIVA, WALIMANAI, WAKUE­NAI)","0032"
33,"BARA (WAIPINOMAKA)","0033"
34,"BARASANA (HANERA)","0034"
35,"BARE","0035"
36,"BORORO (BOE)","0036"
37,"BOTOCUDO (GEREN)","0037"
38,"CANOE","0038"
39,"CASSUPA","0039"
40,"CHAMACOCO","0040"
41,"CHIQUITANO (XIQUITANO)","0041"
42,"CIKIYANA (SIKIANA)","0042"
43,"CINTA LARGA (MATETAMAE)","0043"
44,"COLUMBIARA (CORUMBIARA)","0044"
45,"DENI","0045"
46,"DESANA (DESANA, DESANO, DESSANO, WIRA, UMUKOMASA)","0046"
47,"DIAHUI (JAHOI, JAHUI, DIARROI)","0047"
48,"ENAWENE-NAWE (SALUMA)","0048"
49,"FULNI-O","0049"
50,"GALIBI (GALIBI DO OIAPOQUE, KARINHA)","0050"
51,"GALIBI MARWORNO (GALIBI DO UACA, ARUA)","0051"
52,"GAVIAO DE RONDONIA (DIGUT)","0052"
53,"GAVIAO KRIKATEJE","0053"
54,"GAVIAO PARKATEJE (PARKATEJE)","0054"
55,"GAVIAO PUKOBIE (PUKOBIE, PYKOPJE, GAVIAO DO MARANH","0055"
56,"GUAJA (AWA, AVA)","0056"
57,"GUAJAJARA (TENETEHARA)","0057"
58,"GUARANI KAIOWA (PAI TAVYTERA)","0058"
59,"GUARANI M'BYA","0059"
60,"GUARANI NANDEVA (AVAKATUETE, CHIRIPA, NHANDEWA, AV","0060"
61,"GUATO","0061"
62,"HIMARIMA (HIMERIMA)","0062"
63,"INGARIKO (INGARICO, AKAWAIO, KAPON)","0063"
64,"IRANXE (IRANTXE)","0064"
65,"ISSE","0065"
66,"JABOTI (JABUTI, KIPIU, YABYTI)","0066"
67,"JAMAMADI (YAMAMADI, DJEOROMITXI)","0067"
68,"JARAWARA","0068"
69,"JIRIPANCO (JERIPANCO, GERIPANCO)","0069"
70,"JUMA (YUMA)","0070"
71,"JURUNA","0071"
72,"JURUTI (YURITI)","0072"
73,"KAAPOR (URUBU-KAAPOR, KA'APOR, KAAPORTE)","0073"
74,"KADIWEU (CADUVEO, CADIUEU)","0074"
75,"KAIABI (CAIABI, KAYABI)","0075"
76,"KAIMBE (CAIMBE)","0076"
77,"KAINGANG (CAINGANGUE)","0077"
78,"KAIXANA (CAIXANA)","0078"
79,"KALABASSA (CALABASSA, CALABACAS)","0079"
80,"KALANCO","0080"
81,"KALAPALO (CALAPALO)","0081"
82,"KAMAYURA (CAMAIURA, KAMAIURA)","0082"
