"id","nome","codigo"
1,"MUNICIPIO IGNORADO - MG",310000
2,"ABADIA DOS DOURADOS",310010
3,"ABAETE",310020
4,"ABRE CAMPO",310030
5,"ACAIACA",310040
6,"ACUCENA",310050
7,"AGUA BOA",310060
8,"AGUA COMPRIDA",310070
9,"AGUANIL",310080
10,"AGUAS FORMOSAS",310090
11,"AGUAS VERMELHAS",310100
12,"AIMORES",310110
13,"AIURUOCA",310120
14,"ALAGOA",310130
15,"ALBERTINA",310140
16,"ALEM PARAIBA",310150
17,"ALFENAS",310160
18,"ALFREDO VASCONCELOS",310163
19,"ALMENARA",310170
20,"ALPERCATA",310180
21,"ALPINOPOLIS",310190
22,"ALTEROSA",310200
23,"ALTO CAPARAO",310205
24,"ALTO RIO DOCE",310210
25,"ALVARENGA",310220
26,"ALVINOPOLIS",310230
27,"ALVORADA DE MINAS",310240
28,"AMPARO DO SERRA",310250
29,"ANDRADAS",310260
30,"CACHOEIRA DE PAJEU",310270
31,"ANDRELANDIA",310280
32,"ANGELANDIA",310285
33,"ANTONIO CARLOS",310290
34,"ANTONIO DIAS",310300
35,"ANTONIO PRADO DE MINAS",310310
36,"ARACAI",310320
37,"ARACITABA",310330
38,"ARACUAI",310340
39,"ARAGUARI",310350
40,"ARANTINA",310360
41,"ARAPONGA",310370
42,"ARAPORA",310375
43,"ARAPUA",310380
44,"ARAUJOS",310390
45,"ARAXA",310400
46,"ARCEBURGO",310410
47,"ARCOS",310420
48,"AREADO",310430
49,"ARGIRITA",310440
50,"ARICANDUVA",310445
51,"ARINOS",310450
52,"ASTOLFO DUTRA",310460
53,"ATALEIA",310470
54,"AUGUSTO DE LIMA",310480
55,"BAEPENDI",310490
56,"BALDIM",310500
57,"BAMBUI",310510
58,"BANDEIRA",310520
59,"BANDEIRA DO SUL",310530
60,"BARAO DE COCAIS",310540
61,"BARAO DE MONTE ALTO",310550
62,"BARBACENA",310560
63,"BARRA LONGA",310570
64,"BARROSO",310590
65,"BELA VISTA DE MINAS",310600
66,"BELMIRO BRAGA",310610
67,"BELO HORIZONTE",310620
68,"BELO ORIENTE",310630
69,"BELO VALE",310640
70,"BERILO",310650
71,"BERTOPOLIS",310660
72,"BERIZAL",310665
73,"BETIM",310670
74,"BIAS FORTES",310680
75,"BICAS",310690
76,"BIQUINHAS",310700
77,"BOA ESPERANCA",310710
78,"BOCAINA DE MINAS",310720
79,"BOCAIUVA",310730
80,"BOM DESPACHO",310740
81,"BOM JARDIM DE MINAS",310750
82,"BOM JESUS DA PENHA",310760
83,"BOM JESUS DO AMPARO",310770
84,"BOM JESUS DO GALHO",310780
85,"BOM REPOUSO",310790
86,"BOM SUCESSO",310800
87,"BONFIM",310810
88,"BONFINOPOLIS DE MINAS",310820
89,"BONITO DE MINAS",310825
90,"BORDA DA MATA",310830
91,"BOTELHOS",310840
92,"BOTUMIRIM",310850
93,"BRASILANDIA DE MINAS",310855
94,"BRASILIA DE MINAS",310860
95,"BRAS PIRES",310870
96,"BRAUNAS",310880
97,"BRAZOPOLIS",310890
98,"BRUMADINHO",310900
99,"BUENO BRANDAO",310910
100,"BUENOPOLIS",310920
101,"BUGRE",310925
102,"BURITIS",310930
103,"BURITIZEIRO",310940
104,"CABECEIRA GRANDE",310945
105,"CABO VERDE",310950
106,"CACHOEIRA DA PRATA",310960
107,"CACHOEIRA DE MINAS",310970
108,"CACHOEIRA DOURADA",310980
109,"CAETANOPOLIS",310990
110,"CAETE",311000
111,"CAIANA",311010
112,"CAJURI",311020
113,"CALDAS",311030
114,"CAMACHO",311040
115,"CAMANDUCAIA",311050
116,"CAMBUI",311060
117,"CAMBUQUIRA",311070
118,"CAMPANARIO",311080
119,"CAMPANHA",311090
120,"CAMPESTRE",311100
121,"CAMPINA VERDE",311110
122,"CAMPO AZUL",311115
123,"CAMPO BELO",311120
124,"CAMPO DO MEIO",311130
125,"CAMPO FLORIDO",311140
126,"CAMPOS ALTOS",311150
127,"CAMPOS GERAIS",311160
128,"CANAA",311170
129,"CANAPOLIS",311180
130,"CANA VERDE",311190
131,"CANDEIAS",311200
132,"CANTAGALO",311205
133,"CAPARAO",311210
134,"CAPELA NOVA",311220
135,"CAPELINHA",311230
136,"CAPETINGA",311240
137,"CAPIM BRANCO",311250
138,"CAPINOPOLIS",311260
139,"CAPITAO ANDRADE",311265
140,"CAPITAO ENEAS",311270
141,"CAPITOLIO",311280
142,"CAPUTIRA",311290
143,"CARAI",311300
144,"CARANAIBA",311310
145,"CARANDAI",311320
146,"CARANGOLA",311330
147,"CARATINGA",311340
148,"CARBONITA",311350
149,"CAREACU",311360
150,"CARLOS CHAGAS",311370
151,"CARMESIA",311380
152,"CARMO DA CACHOEIRA",311390
153,"CARMO DA MATA",311400
154,"CARMO DE MINAS",311410
155,"CARMO DO CAJURU",311420
156,"CARMO DO PARANAIBA",311430
157,"CARMO DO RIO CLARO",311440
158,"CARMOPOLIS DE MINAS",311450
159,"CARNEIRINHO",311455
160,"CARRANCAS",311460
161,"CARVALHOPOLIS",311470
162,"CARVALHOS",311480
163,"CASA GRANDE",311490
164,"CASCALHO RICO",311500
165,"CASSIA",311510
166,"CONCEICAO DA BARRA DE MINAS",311520
167,"CATAGUASES",311530
168,"CATAS ALTAS",311535
169,"CATAS ALTAS DA NORUEGA",311540
170,"CATUJI",311545
171,"CATUTI",311547
172,"CAXAMBU",311550
173,"CEDRO DO ABAETE",311560
174,"CENTRAL DE MINAS",311570
175,"CENTRALINA",311580
176,"CHACARA",311590
177,"CHALE",311600
178,"CHAPADA DO NORTE",311610
179,"CHAPADA GAUCHA",311615
180,"CHIADOR",311620
181,"CIPOTANEA",311630
182,"CLARAVAL",311640
